Twitter Users,Followers,Twitter_Handle,Rank
Michael Kors,2651396,MichaelKors,916
Giovanna Antonelli,2651234,gio_antonelli,917
Missy Elliott,2647348,MissyElliott,918
Alfredo Flores,2646577,AlfredoFlores,919
NRJ,2645634,NRJhitmusiconly,920
The Beatles,2640754,thebeatles,921
carolina dieckmann,2638809,cadieckmann,922
globoesporte.com,2633475,globoesportecom,923
WWD,2630926,wwd,924
Mike Epps,2628240,TheRealMikeEpps,925
عمر آل ملحم,2625520,Omar_Almulhem,926
Georgina Wilson,2625068,ilovegeorgina,927
Carlos PenaVega,2623847,TheCarlosPena,928
ريال مدريد,2623371,realmadridarab,929
DavidKWilliams,2618588,DavidKWilliams,930
Lali Esposito,2615758,laliespos,931
Health magazine,2614763,goodhealth,932
Pitchfork,2613361,pitchfork,933
Bruna Marquezine,2612869,BruMarquezine,934
Kendra Wilkinson,2607040,KendraWilkinson,935
High School Problems,2605649,ComedyOrTruth,936
Maria Gadú,2605619,mariagadu,937
CBF Futebol,2605496,CBF_Futebol,938
Tarkan,2604706,tarkan,939
Tom Daley,2602781,TomDaley1994,940
Shay Mitchell,2601435,shaymitch,941
✧Xstrology™,2597873,XSTROLOGY,942
Elizabeth Gillies,2597061,LizGillies,943
Good Morning America,2593630,GMA,944
Female Struggles,2592822,comedyandtruth,945
вяαи∂у,2591986,4everBrandy,946
Rossa Roslaina,2590693,mynameisrossa,947
EA SPORTS FIFA,2583600,EASPORTSFIFA,948
Ryan Sheckler,2579839,RyanSheckler,949
Lisa Surihani,2579679,LisaSurihani,950
william levy,2578848,willylevy29,951
AddThis,2577246,addthis,952
Food Network,2575453,FoodNetwork,953
Tony Robbins,2569082,TonyRobbins,954
Últimas Noticias,2562721,UNoticias,955
Craque Neto 10,2560622,10neto,956
Javier Alatorre,2559508,Javier_Alatorre,957
Newsweek,2556793,Newsweek,958
Erin Andrews,2549832,ErinAndrews,959
Brooke Burke-Charvet,2549322,brookeburke,960
Yalın,2547326,YALINonline,961
Larry King,2546459,kingsthings,962
So Damn Relatable!,2545152,reIatable,963
Matt Pokora,2542689,MPOFFICIAL,964
Greyson Chance,2541491,greysonchance,965
Chris Hardwick,2541422,nerdist,966
Thiago Alcantara,2540404,Thiago6,967
Jeremy Piven,2540291,jeremypiven,968
Dermot O'Leary,2540023,radioleary,969
Frases De La Vida - Mexico,2538643,FilosofiaTipica,970
Kenan Doğulu,2537007,kenandogulu,971
Mandy Moore,2534013,TheMandyMoore,972
Ashley Cole,2527690,TheRealAC3,973
Samir Nasri Official,2524855,SamNasri19,974
Chris Colfer,2521104,chriscolfer,975
سلمان بن عبدالعزي,2519323,KingSalman,976
WikiLeaks,2518743,wikileaks,977
Fill Werrell,2515635,FillWerrell,978
Etsy,2515016,Etsy,979
Earvin Magic Johnson,2513325,MagicJohnson,980
Cher,2509907,cher,981
Estadao,2508853,Estadao,982
Denise Richards,2505350,DENISE_RICHARDS,983
Gisele Bündchen,2504900,giseleofficial,984
Noynoy Aquino,2503008,noynoyaquino,985
Jason Segel,2502092,jasonsegel,986
Santiago Segura,2500267,SSantiagosegura,987
TweetDeck,2498793,TweetDeck,988
ABS-CBN News,2498052,ABSCBNNews,989
Troye Sivan,2493519,troyesivan,990
Walt Disney Pictures,2492854,DisneyPictures,991
María Corina Machado,2488952,MariaCorinaYA,992
Nicolas Vazquez,2488236,vazqueznico,993
Axel,2487649,AxelOficial,994
Lukas-Podolski.com,2483966,Podolski10,995
Caspar Lee,2477538,Caspar_Lee,996
Humor y Chistes,2469666,TWICHISTE,997
Carolina Cruz Osorio,2464900,carocruzosorio,998
AC Milan,2454434,acmilan,999
Shane Dawson,2452979,shanedawson,1000

